causing_node,caused_node,f_stat,p_value,significant_p05,p_value_fdr,significant_fdr,p_bonferroni,significant_bonferroni,tier_i_actual,tier_j_actual,edge_tier_actual,uses_fixture,claim_allowed,claim_level,claim_reason,claim_language,claim_sentence,feature_tier,provenance_claim_allowed,statistical_claim_allowed,paper_claim_allowed,claim_strength,source_table,node_i,node_j,peak_lag_steps,peak_corr,significant_p01,event_id,feature_col,grid_seconds,peak_lag_seconds,event_phase,te_i_to_j,p_value_block,p_value_block_fdr,significant_block_fdr,fevd_share_mean,fevd_share_max,fevd_share_std,n_windows,method,fevd_share,horizon
curve_ust_wormhole,curve_3pool,1.2925285763500918,0.2567759334971984,false,0.5308298941603551,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,B,true,false,false,suggestive,table_granger_terra_luna_2022.csv,,,,,,,,,,,,,,,,,,,,,
curve_3pool,curve_ust_wormhole,2.982640003910595,0.08551623266391335,false,0.5130973959834801,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,B,true,false,false,suggestive,table_granger_terra_luna_2022.csv,,,,,,,,,,,,,,,,,,,,,
curve_3pool,curve_crvusd_usdt,0.17294623882536103,0.8412136619366501,false,0.8412136619366501,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,B,true,false,false,suggestive,table_granger_usdt_curve_2023.csv,,,,,,,,,,,,,,,,,,,,,
curve_crvusd_usdt,curve_3pool,0.402399666028227,0.6688460544217122,false,0.8143591501738948,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,B,true,false,false,suggestive,table_granger_usdt_curve_2023.csv,,,,,,,,,,,,,,,,,,,,,
,,,1.0,,1.0,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,A,true,false,false,suggestive,table_leadlag_tests_terra_luna_2022.csv,curve_3pool,curve_ust_wormhole,3,-0.07185045673866271,false,terra_luna_2022,usdc_net_sold_1h,3600,10800,all,,,,,,,,,,,
,,,1.0,,1.0,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,A,true,false,false,suggestive,table_leadlag_tests_terra_luna_2022.csv,curve_ust_wormhole,curve_3pool,-3,-0.07185045673866272,false,terra_luna_2022,usdc_net_sold_1h,3600,-10800,all,,,,,,,,,,,
,,,0.007,,0.007,true,0.014,true,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_crvusd_usdt.,A,true,true,true,robust,table_leadlag_tests_usdt_curve_2023.csv,curve_3pool,curve_crvusd_usdt,0,0.38573739685614267,true,usdt_curve_2023,usdc_net_sold_1h,3600,0,all,,,,,,,,,,,
,,,0.0,,0.0,true,0.0,true,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_crvusd_usdt to curve_3pool.,A,true,true,true,robust,table_leadlag_tests_usdt_curve_2023.csv,curve_crvusd_usdt,curve_3pool,0,0.3857373968561426,true,usdt_curve_2023,usdc_net_sold_1h,3600,0,all,,,,,,,,,,,
,,,0.865,false,1.0,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_ust_wormhole to curve_3pool.,B,true,false,false,suggestive,table_transfer_entropy_terra_luna_2022.csv,curve_ust_wormhole,curve_3pool,,,,terra_luna_2022,,,,,0.3545527889788419,0.285,0.68,false,,,,,,,
,,,1.0,false,1.0,false,1.0,false,A,A,A,false,true,A_A_dex_flow,Both endpoints are Tier-A DEX (AMM) nodes.,A/A directional (on-chain AMM flow),We find high-provenance on-chain AMM-flow evidence of stress propagation from curve_3pool to curve_ust_wormhole.,B,true,false,false,suggestive,table_transfer_entropy_terra_luna_2022.csv,curve_3pool,curve_ust_wormhole,,,,terra_luna_2022,,,,,0.23678704406803197,0.965,1.0,false,,,,,,,
