node_i,node_j,peak_lag_steps,peak_corr,p_value,significant_p01,p_value_fdr,significant_fdr,event_id
usdc_coinbase,usdc_binance,-60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023
usdc_coinbase,usdt_binance,-60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023
usdc_coinbase,usdt_kraken,-41,0.19153178907722904,0.377,false,1.0,false,usdc_svb_2023
usdc_coinbase,usdc_kraken,30,0.20612697239547054,0.463,false,1.0,false,usdc_svb_2023
usdc_coinbase,curve_3pool,30,0.21566608151008182,0.419,false,1.0,false,usdc_svb_2023
usdc_coinbase,uniswap_usdc_usdt_005,30,0.20796979983453284,0.428,false,1.0,false,usdc_svb_2023
usdc_coinbase,eth_usdc_exchange_flows,-60,-0.9984135226145447,1.0,false,1.0,false,usdc_svb_2023
usdc_coinbase,eth_usdt_exchange_flows,-60,-0.9988347182590517,1.0,false,1.0,false,usdc_svb_2023
usdc_coinbase,eth_bridge_flows,-58,-0.9986284821819095,1.0,false,1.0,false,usdc_svb_2023
usdc_coinbase,usdc_mint_burn,-60,-0.9988347182590517,1.0,false,1.0,false,usdc_svb_2023
usdc_binance,usdc_coinbase,60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023
usdc_binance,usdt_binance,0,1.0,0.0,true,0.0,true,usdc_svb_2023
usdt_binance,usdc_coinbase,60,-0.8261043719802086,0.0,true,0.0,true,usdc_svb_2023
usdt_binance,usdc_binance,0,1.0,0.0,true,0.0,true,usdc_svb_2023
usdt_kraken,usdc_coinbase,41,0.19153178907722904,0.437,false,1.0,false,usdc_svb_2023
usdt_kraken,usdc_kraken,0,0.993422309539654,0.0,true,0.0,true,usdc_svb_2023
usdt_kraken,curve_3pool,5,0.9913672945029725,0.0,true,0.0,true,usdc_svb_2023
usdt_kraken,uniswap_usdc_usdt_005,-1,0.991342285637312,0.0,true,0.0,true,usdc_svb_2023
usdt_kraken,eth_usdc_exchange_flows,2,0.9919784869652474,1.0,false,1.0,false,usdc_svb_2023
usdt_kraken,eth_usdt_exchange_flows,3,0.9919939581185057,1.0,false,1.0,false,usdc_svb_2023
usdt_kraken,eth_bridge_flows,6,0.9922255950320803,1.0,false,1.0,false,usdc_svb_2023
usdt_kraken,usdc_mint_burn,3,0.9919939581185057,1.0,false,1.0,false,usdc_svb_2023
usdc_kraken,usdc_coinbase,-30,0.20612697239547056,0.469,false,1.0,false,usdc_svb_2023
usdc_kraken,usdt_kraken,0,0.9934223095396539,0.0,true,0.0,true,usdc_svb_2023
usdc_kraken,curve_3pool,4,0.9991059288482537,0.0,true,0.0,true,usdc_svb_2023
usdc_kraken,uniswap_usdc_usdt_005,-2,0.999123240577566,0.0,true,0.0,true,usdc_svb_2023
usdc_kraken,eth_usdc_exchange_flows,2,0.9990555853501432,1.0,false,1.0,false,usdc_svb_2023
usdc_kraken,eth_usdt_exchange_flows,3,0.9990544864327227,1.0,false,1.0,false,usdc_svb_2023
usdc_kraken,eth_bridge_flows,6,0.9990620032309017,1.0,false,1.0,false,usdc_svb_2023
usdc_kraken,usdc_mint_burn,3,0.9990544864327227,1.0,false,1.0,false,usdc_svb_2023
