node_i,node_j,te_i_to_j,p_value,significant_p05,p_value_fdr,significant_fdr,tier_i_actual,tier_j_actual,edge_tier_actual,claim_allowed,uses_fixture,claim_level,claim_reason
curve_3pool,usdc_binance,0.39545334898214,0.0,true,0.0,true,fixture_non_empirical,B,fixture_non_empirical,false,true,fixture_disallowed,At least one endpoint is deterministic fixture data.
curve_3pool,usdt_binance,0.39545334898214,0.0,true,0.0,true,fixture_non_empirical,B,fixture_non_empirical,false,true,fixture_disallowed,At least one endpoint is deterministic fixture data.
usdc_binance,curve_3pool,0.3258876592762945,0.0,true,0.0,true,B,fixture_non_empirical,fixture_non_empirical,false,true,fixture_disallowed,At least one endpoint is deterministic fixture data.
usdt_binance,curve_3pool,0.3258876592762945,0.0,true,0.0,true,B,fixture_non_empirical,fixture_non_empirical,false,true,fixture_disallowed,At least one endpoint is deterministic fixture data.
busd_binance,curve_3pool,0.04294349601336511,1.0,false,1.0,false,B,fixture_non_empirical,fixture_non_empirical,false,true,fixture_disallowed,At least one endpoint is deterministic fixture data.
busd_binance,usdc_binance,0.03963917154438601,0.0,true,0.0,true,B,B,B,true,false,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
busd_binance,usdt_binance,0.03963917154438601,0.0,true,0.0,true,B,B,B,true,false,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
curve_3pool,busd_binance,0.023799931451147525,0.0,true,0.0,true,fixture_non_empirical,B,fixture_non_empirical,false,true,fixture_disallowed,At least one endpoint is deterministic fixture data.
usdc_binance,busd_binance,0.011670578222928628,0.0,true,0.0,true,B,B,B,true,false,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdt_binance,busd_binance,0.011670578222928628,0.0,true,0.0,true,B,B,B,true,false,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdc_binance,usdt_binance,0.0,1.0,false,1.0,false,B,B,B,true,false,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
usdt_binance,usdc_binance,0.0,1.0,false,1.0,false,B,B,B,true,false,B_B_context_only,"Both endpoints are Tier B, so use contextual language."
